Record,Tags,Comments,Search Term,URL,Date/Time - UTC+00:00 (M/d/yyyy),Date/Time - Local Time (yyyy-mm-dd),Original Search Query,Search Session Start Date/Time - UTC+00:00 (M/d/yyyy),Web Page Title,Previous Queries,Artifact,Artifact ID,Source,Location,Evidence number
1,Of interest,,how far would the dollar go in indonesia,https://www.google.com/search?q=how+far+would+the+dollar+go+in+indonesia&rlz=1C1CHBF_enUS790US790&oq=how+far+would+the+dollar+go+in+indonesia&aqs=chrome..69i57j0.6511j1j7&sourceid=chrome&ie=UTF-8,3/31/2018 7:43:02 PM,,how far would the dollar go in indonesia,,Google Search,,Chrome Shortcuts,baa790bd7fc64688ac762a6fc0863184,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 51),LoneWolf.E01
2,Of interest,,can i strap cash to myself and walk through tsa,https://www.google.com/search?q=can+i+strap+cash+to+myself+and+walk+through+tsa&rlz=1C1CHBF_enUS790US790&oq=can+i+strap+cash+to+myself+and+walk+through+tsa&aqs=chrome..69i57.9343j0j4&sourceid=chrome&ie=UTF-8,4/5/2018 8:01:23 AM,,can i strap cash to myself and walk through tsa,,,,Chrome Cache Records,88e631a7433a4fa992c8e8e8e4cc3eed,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Cache\data_1",File Offset 9181184,LoneWolf.E01
3,Of interest,,velcro tear away clothes,https://www.google.com/search?q=velcro+tear+away+clothes&rlz=1C1CHBF_enUS790US790&source=univ&tbm=shop&tbo=u&sa=X&ved=0ahUKEwiWmrf37Z_aAhWCm4MKHezPAZsQsxgIKg&biw=1366&bih=662,4/4/2018 5:13:53 AM,,,,velcro tear away clothes - Google Search,,Chrome Current Tabs,f8570494e2a445d3a86dd1aae5f6599c,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 733725,LoneWolf.E01
4,Of interest,,cascades library sterling va meeting room b,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&biw=1366&bih=662&tbm=isch&sa=1&ei=VyPDWrOqIMSh_wTvzaawAw&q=cascades+library+sterling+va+meeting+room+b&oq=cascades+library+sterling+va+meeting+room+b&gs_l=psy-ab.3...35711.37482.0.37566.12.11.0.0.0.0.212.1042.0j6j1.7.0....0...1c.1.64.psy-ab..7.0.0....0.JEVFe8hf4Rw#imgrc=_,4/3/2018 6:49:05 AM,,cascades library sterling va meeting room b,4/3/2018 6:46:47 AM,cascades library sterling va meeting room b - Google Search,,Chrome Current Tabs,d9a2853725e940fcb0d7dcade11334eb,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 540563,LoneWolf.E01
5,Of interest,,keltec 2000 site:gunbroker.com,https://www.google.com/search?q=keltec%202000%20site%3Agunbroker.com&rlz=1C1CHBF_enUS790US790&oq=gunbro&aqs=chrome.0.0j69i60l2j69i57j69i60l2.1351j0j4&sourceid=chrome&ie=UTF-8&ved=0ahUKEwjE29GP4JXaAhVMzWMKHeJKDpEQ2wEILg&ei=GRK_WoTrOcyajwPilbmICQ,,,gunbro,3/31/2018 4:44:09 AM,,,Chrome FavIcons,d3747c1d9222470a98489fde4f21d8b4,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 344)
Table: favicon_bitmaps(id: 8)",LoneWolf.E01
6,Of interest,,Northern Virginia Gun Works,"https://www.google.com/search?rlz=1C1CHBF_enUS790US790&tbm=lcl&q=Northern+Virginia+Gun+Works&rflfq=1&num=20&stick=H4sIAAAAAAAAABWQy20DQQxDsZcg9w1y2JNL0JeSukgLRuAgBwMb2I2lrlQRDjCYwwxJPfH15dhHQry6IJOd1tVy7FWGitQCRHwamcebggoKx2aq0kO0jx1udIa0WNuYweLYXWWpy1V7UDxNv5W6W3fHQFynq449FKYo2iqBkChQmgp0BkcRQtzbKc1MTaMZZZ4wzqBUeqqzQHL11G4jVRjxScsQpBMDoJ-IQuiKgIoEzLk_NEVDbXgJC_AVWsEY9VHnE-mlKSU-kdBwfg6JfW2lkMiRIZbCSyZkBciILeCRJL1P2VorWBPL4gYV2p6rLCVUq7IPTdcm34qt4guGaDPi0rT9btvf9v5xO3_ut8v1_jwvz9v18fl9-Tof__mk2arLAQAA&ved=0ahUKEwiMiuzZj5faAhUT2mMKHS7-CVIQjHII6wEwGg&rldimm=16958876929977534018&tbs=lrf:,lf:1",4/5/2018 8:27:29 AM,,,,,,Chrome Cache Records,7d9f473297344c84b49042574e71c163,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Cache\data_1",File Offset 3190016,LoneWolf.E01
7,Of interest,,can i use amazon s3 for free,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&ei=19e6WumYFILhjAPJ2KuoBw&q=can+i+use+amazon+s3+for+free&oq=can+i+use+amazon+s3+for+free&gs_l=psy-ab.3..33i22i29i30k1.31328.38086.0.39465.44.29.1.0.0.0.340.3767.0j13j6j1.21.0....0...1.1.64.psy-ab..22.22.4029.6..0j0i67k1j0i131k1j0i20i263k1j35i39k1j0i22i10i30k1j33i160k1.258.zpAYlb9nZgk,,,can i use amazon s3 for free,3/27/2018 11:46:31 PM,,,Chrome FavIcons,a03c11dc259f41a88c814f4d4f104527,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 34)
Table: favicon_bitmaps(id: 7)",LoneWolf.E01
8,Of interest,,gunbroker,https://www.google.com/search?q=gunbroker&rlz=1C1CHBF_enUS790US790&oq=gunbro&aqs=chrome.0.0j69i60l2j69i57j69i60l2.1351j0j4&sourceid=chrome&ie=UTF-8,3/31/2018 4:44:24 AM,,gunbro,,keltec 2000 site:gunbroker.com - Google Search,,Chrome Current Tabs,2174798507cd4e49b09effcf7d0c7a83,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 477146,LoneWolf.E01
9,Of interest,,gunbroker,https://www.google.com/search?q=gunbroker&rlz=1C1CHBF_enUS790US790&oq=gunbro&aqs=chrome.0.0j69i60l2j69i57j69i60l2.1351j0j4&sourceid=chrome&ie=UTF-8,3/31/2018 4:44:13 AM,,gunbro,,Google Search,,Chrome Shortcuts,40fd25a456e04864b48152b8098e3a0d,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 44),LoneWolf.E01
10,Of interest,,dulles airport,https://www.google.com/search?q=dulles+airport&rlz=1C1CHBF_enUS790US790&oq=dulles+airport&aqs=chrome..69i57j0l5.2753j0j7&sourceid=chrome&ie=UTF-8,4/2/2018 1:48:43 AM,,dulles airport,,Google Search,,Chrome Shortcuts,1bf7acae460b4829b25e33df466aff89,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 64),LoneWolf.E01
